tau,B_norm_chi5,env_rms_chi5,B_norm_chi4,env_rms_chi4
45.4000,-0.066617,0.374532,-0.090942,0.370699
45.4500,-0.114669,0.369721,-0.458575,0.372635
45.5000,-0.460073,0.368636,-0.219090,0.373154
45.5500,-0.940791,0.368639,0.078961,0.370027
45.6000,-0.317514,0.364353,0.282630,0.356336
45.6500,0.084213,0.356522,0.422546,0.354327
45.7000,0.037458,0.361798,0.273040,0.354386
45.7500,0.036627,0.354771,0.427252,0.363385
45.8000,-0.318068,0.338809,0.631640,0.365674
45.8500,0.066596,0.324844,0.194964,0.364680
45.9000,0.262705,0.312300,-0.074390,0.361545
45.9500,0.156762,0.313631,0.016713,0.364157
46.0000,0.263555,0.303645,-0.125418,0.361047
46.0500,0.554176,0.295723,-0.338086,0.347072
46.1000,0.335793,0.312337,-0.551225,0.326337
46.1500,0.044166,0.337238,-0.544644,0.324404
46.2000,0.341161,0.339866,-0.304368,0.326494
46.2500,-0.104179,0.323902,-0.452008,0.329684
46.3000,-0.335084,0.326769,-0.507243,0.329599
46.3500,-0.389581,0.336130,0.009920,0.325604
46.4000,-0.358503,0.342236,0.401705,0.323878
46.4500,0.058051,0.350623,0.434736,0.335110
