# Combined magnitude data, zeros vs random; N_each=200
# K-S statistic D=0.080000, p=0.527189 (on log10(magnitude))
source,index_or_k,t_or_gamma,magnitude
null,94,181.819387,0.133016161659
null,95,189.137351,12.0097926843
null,96,382.172948,0.00517235781316
null,97,352.079235,0.65257430451
null,98,115.668174,16.6092029977
null,99,207.226240,7.24407716189
null,100,350.020168,0.425321373547
null,101,129.199689,0.0167612693523
null,102,260.634505,13.0618404385
null,103,249.062502,0.389253540799
null,104,72.995958,0.29012274478
null,105,308.329169,0.0950995722491
null,106,222.200306,3.08196637208
null,107,314.549821,4.83055957404
null,108,218.716517,6.2517228304
null,109,139.124238,0.564230785333
null,110,21.518023,0.119061508611
null,111,372.632066,0.0741783008488
null,112,353.186645,0.453489956358
null,113,335.022894,0.308038285231
null,114,132.700452,62.6776734789
null,115,36.359114,0.542216532269
null,116,352.911705,0.334644062298
null,117,379.522486,0.6645000452
null,118,47.062232,1.09812034904
null,119,201.592319,0.719898572454
null,120,40.716032,1.13438906721
null,121,307.592436,2.61784887541
null,122,309.612090,2.90074098725
null,123,63.559105,18.1225070109
null,124,197.458998,1.23926278903
null,125,226.224187,13.5659697483
null,126,350.759154,52.2878090841
null,127,177.331245,9.66579944399
null,128,95.754107,0.878316945201
null,129,222.168290,1.82690223906
null,130,295.753393,0.0788237125458
null,131,91.644310,0.229127779102
null,132,134.322488,15.3395015435
null,133,398.127652,0.219204140436
null,134,264.852930,0.17649089529
null,135,183.106632,0.10900372308
null,136,213.784275,2.49788802269
null,137,60.707620,2.27718904482
null,138,100.733172,0.230899167138
null,139,144.501027,5.82745594634
null,140,102.824287,1.02918831673
null,141,99.003910,33.5851720099
null,142,41.403331,13.9593102709
null,143,257.605742,0.942302465335
null,144,102.371529,0.167256981029
null,145,363.492125,1.412913243
null,146,345.819264,1.01982354457
null,147,41.350937,9.70280019563
null,148,105.869789,8.91742314567
null,149,272.225422,0.318579075899
null,150,96.695408,5.80476901407
null,151,375.108497,0.456570653872
null,152,234.422634,19.4255076646
null,153,196.451016,28.5922153537
null,154,316.863098,2.00419647557
null,155,325.693841,1.53354975994
null,156,51.415294,1.76207524303
null,157,180.385756,1.52463170357
null,158,177.501348,3.13466690318
null,159,194.271522,0.62834489269
null,160,295.423278,0.537623254513
null,161,273.918715,0.0219216462238
null,162,393.887772,0.315123489455
null,163,51.989298,172.141520165
null,164,169.411815,2.00912493825
null,165,144.970806,5.75245123503
null,166,346.605599,0.0379232789295
null,167,109.981345,0.758062222708
null,168,176.846313,46.8141694289
null,169,121.518426,0.937642871883
null,170,110.425289,0.871735667958
null,171,370.380521,2.24987241653
null,172,185.048468,2.78293000022
null,173,346.480754,0.0238282143599
null,174,226.425571,0.695510212577
null,175,33.527095,0.468300070579
null,176,399.723033,0.666440219056
null,177,336.706648,0.117106794156
null,178,388.032555,1.85335681498
null,179,371.577655,0.589122838711
null,180,341.596553,6.14590499665
null,181,78.196089,0.169152121085
null,182,201.457474,0.852967570157
null,183,96.506457,2.30432720552
null,184,168.801553,0.973718307129
null,185,36.633264,0.873083417463
null,186,160.283624,3.29285120646
null,187,394.329214,0.353996219992
null,188,116.368380,12.121371225
null,189,316.651252,6.07585930955
null,190,189.633230,8.62321864996
null,191,177.280890,19.8218653912
null,192,398.233158,0.0268161150422
null,193,228.526573,0.381337427076
null,194,291.305594,0.051800584937
null,195,73.751575,0.266527251094
null,196,128.529221,1.64738789005
null,197,387.921815,1.82860888512
null,198,237.563592,0.220271884037
null,199,223.287348,4.08526425463
null,200,36.065795,0.0992813290206
