n,t_n,nearest_minimum_t,delta_n,delta_n_null
437,728.758750,728.848000,0.089250,0.437839
438,730.416482,730.864000,0.447518,0.424790
439,731.417355,731.648000,0.230645,0.424749
440,732.818053,732.736000,0.082053,0.461971
441,734.789643,733.848000,0.941643,0.442206
442,735.765459,736.160000,0.394541,0.424457
443,737.052929,736.856000,0.196929,0.399664
444,738.580421,739.896000,1.315579,0.454990
445,739.909524,739.896000,0.013524,0.440616
446,740.573807,740.552000,0.021807,0.432905
447,741.757336,741.512000,0.245336,0.426924
448,743.895013,743.720000,0.175013,0.439067
449,745.344990,745.216000,0.128990,0.427550
450,746.499306,745.536000,0.963306,0.444420
451,747.674564,747.920000,0.245436,0.440882
452,748.242754,747.920000,0.322754,0.421826
453,750.655950,750.296000,0.359950,0.432014
454,750.966381,750.296000,0.670381,0.435162
455,752.887622,752.928000,0.040378,0.438306
456,754.322370,753.952000,0.370370,0.439469
457,755.839309,756.520000,0.680691,0.418352
458,756.768248,756.520000,0.248248,0.433506
459,758.101729,758.664000,0.562271,0.423959
460,758.900238,758.664000,0.236238,0.436203
461,760.282367,760.608000,0.325633,0.430762
462,762.700033,762.264000,0.436033,0.429584
463,763.593066,762.264000,1.329066,0.450296
464,764.307523,766.248000,1.940477,0.454890
465,766.087540,766.248000,0.160460,0.435775
466,767.218472,767.112000,0.106472,0.436171
467,768.281462,768.080000,0.201462,0.437188
468,769.693407,769.688000,0.005407,0.432038
469,771.070839,772.224000,1.153161,0.433269
470,772.961618,772.504000,0.457618,0.416067
471,774.117745,774.264000,0.146255,0.429370
472,775.047847,775.456000,0.408153,0.423394
473,775.999712,775.456000,0.543712,0.429151
474,777.299749,777.232000,0.067749,0.426270
475,779.157077,779.416000,0.258923,0.435010
476,780.348925,781.200000,0.851075,0.438704
477,782.137664,782.648000,0.510336,0.405492
478,782.597944,782.648000,0.050056,0.400757
479,784.288823,784.072000,0.216823,0.417529
480,785.739090,785.584000,0.155090,0.422413
481,786.461147,786.656000,0.194853,0.427945
482,787.468464,787.104000,0.364464,0.435915
483,790.059092,790.008000,0.051092,0.435712
484,790.831620,791.072000,0.240380,0.405786
485,792.427708,791.976000,0.451708,0.417965
486,792.888653,793.176000,0.287347,0.423888
487,794.483792,795.472000,0.988208,0.445763
488,795.606596,795.472000,0.134596,0.450016
489,797.263470,797.352000,0.088530,0.430409
