n,t_n,nearest_minimum_t,delta_n,delta_n_null
578,911.234951,910.960000,0.274951,0.531001
579,912.331046,912.184000,0.147046,0.525098
580,912.823999,912.184000,0.639999,0.532925
581,914.730097,914.048000,0.682097,0.526762
582,916.355001,916.192000,0.163001,0.520344
583,917.825378,917.792000,0.033378,0.514835
584,918.836535,918.504000,0.332535,0.507563
585,919.448344,920.120000,0.671656,0.521497
586,921.156396,921.328000,0.171604,0.519873
587,922.500629,922.336000,0.164629,0.517776
588,923.285720,922.336000,0.949720,0.525203
589,924.773484,925.400000,0.626516,0.516275
590,926.551553,926.080000,0.471553,0.523594
591,927.850859,929.376000,1.525141,0.534594
592,928.663659,929.376000,0.712341,0.541712
593,929.874093,929.984000,0.109907,0.532902
594,931.009211,930.920000,0.089211,0.541642
595,931.852741,930.920000,0.932741,0.538120
596,934.385307,934.184000,0.201307,0.536584
597,934.995425,935.240000,0.244575,0.537169
598,936.228649,935.864000,0.364649,0.526253
599,937.532926,937.288000,0.244926,0.544704
600,939.024301,938.624000,0.400301,0.541963
601,939.660941,939.448000,0.212941,0.555464
602,941.157000,941.496000,0.339000,0.508301
603,942.052342,941.496000,0.556342,0.509504
604,944.188036,944.104000,0.084036,0.511182
605,945.333563,945.112000,0.221563,0.530874
606,946.765842,946.928000,0.162158,0.499744
607,947.079183,946.928000,0.151183,0.510650
608,948.346646,948.416000,0.069354,0.535500
609,950.151613,950.104000,0.047613,0.520518
610,951.033249,950.640000,0.393249,0.509168
611,952.727989,952.320000,0.407989,0.513273
612,954.129719,954.096000,0.033719,0.527816
613,954.829309,954.096000,0.733309,0.506651
614,956.675479,957.464000,0.788521,0.491631
615,957.510053,957.464000,0.046053,0.532588
616,958.414593,957.464000,0.950593,0.529655
617,959.459169,960.992000,1.532831,0.544744
618,961.669572,960.992000,0.677572,0.539631
619,963.182087,962.824000,0.358087,0.538263
620,963.567040,964.064000,0.496960,0.515050
621,965.055580,965.168000,0.112420,0.536052
622,966.110755,965.888000,0.222755,0.536569
623,967.371154,966.952000,0.419154,0.542607
624,968.636302,968.584000,0.052302,0.536556
625,970.125611,970.744000,0.618389,0.518132
626,971.071491,971.096000,0.024509,0.530836
627,973.185361,973.880000,0.694639,0.539603
628,973.873079,973.880000,0.006921,0.545920
629,974.774635,974.984000,0.209365,0.532057
