n,t_n,nearest_minimum_t,delta_n,nearest_null_minimum_t,delta_n_null,bin
364,630.805781,631.088000,0.282219,,0.418236,"[300,650)"
365,632.225141,632.488000,0.262859,,0.415030,"[300,650)"
366,633.546858,633.528000,0.018858,,0.391747,"[300,650)"
367,635.523800,634.904000,0.619800,,0.413536,"[300,650)"
368,637.397193,637.328000,0.069193,,0.404848,"[300,650)"
369,637.925514,637.328000,0.597514,,0.428867,"[300,650)"
370,638.927938,638.920000,0.007938,,0.434415,"[300,650)"
371,640.694795,641.136000,0.441205,,0.443180,"[300,650)"
372,641.945500,641.768000,0.177500,,0.425813,"[300,650)"
373,643.278884,643.352000,0.073116,,0.405630,"[300,650)"
374,644.990578,644.856000,0.134578,,0.384611,"[300,650)"
375,646.348192,645.784000,0.564192,,0.417449,"[300,650)"
376,647.761753,647.600000,0.161753,,0.423866,"[300,650)"
377,648.786401,648.984000,0.197599,,0.433323,"[300,650)"
378,650.197519,649.664000,0.533519,,0.429980,"[650,1000)"
379,650.668684,649.664000,1.004684,,0.427850,"[650,1000)"
380,653.649572,653.296000,0.353572,,0.406289,"[650,1000)"
381,654.301921,654.200000,0.101921,,0.427148,"[650,1000)"
382,655.709463,655.880000,0.170537,,0.439218,"[650,1000)"
383,656.964085,656.208000,0.756085,,0.438137,"[650,1000)"
384,658.175614,658.944000,0.768386,,0.423926,"[650,1000)"
385,659.663846,659.568000,0.095846,,0.423169,"[650,1000)"
386,660.716733,661.224000,0.507267,,0.425818,"[650,1000)"
387,662.296586,662.488000,0.191414,,0.415554,"[650,1000)"
388,664.244605,663.000000,1.244605,,0.412358,"[650,1000)"
389,665.342763,665.984000,0.641237,,0.408639,"[650,1000)"
390,666.515148,665.984000,0.531148,,0.411517,"[650,1000)"
391,667.148495,668.088000,0.939505,,0.412050,"[650,1000)"
392,668.975849,668.328000,0.647849,,0.414940,"[650,1000)"
393,670.323585,670.704000,0.380415,,0.404459,"[650,1000)"
394,672.458184,672.880000,0.421816,,0.418870,"[650,1000)"
395,673.043578,672.880000,0.163578,,0.412763,"[650,1000)"
396,674.355898,673.944000,0.411898,,0.427272,"[650,1000)"
397,676.139674,676.856000,0.716326,,0.433034,"[650,1000)"
398,677.230181,676.856000,0.374181,,0.408524,"[650,1000)"
399,677.800445,677.792000,0.008445,,0.409162,"[650,1000)"
400,679.742198,678.984000,0.758198,,0.441861,"[650,1000)"
401,681.894992,682.216000,0.321008,,0.423253,"[650,1000)"
402,682.602735,682.216000,0.386735,,0.428263,"[650,1000)"
403,684.013550,683.976000,0.037550,,0.429614,"[650,1000)"
404,684.972630,684.864000,0.108630,,0.416774,"[650,1000)"
405,686.163224,685.280000,0.883224,,0.424610,"[650,1000)"
406,687.961543,687.696000,0.265543,,0.425303,"[650,1000)"
407,689.368941,689.184000,0.184941,,0.424021,"[650,1000)"
408,690.474735,690.488000,0.013265,,0.401315,"[650,1000)"
409,692.451684,692.488000,0.036316,,0.439409,"[650,1000)"
410,693.176970,692.952000,0.224970,,0.424094,"[650,1000)"
411,694.533909,693.664000,0.869909,,0.399825,"[650,1000)"
412,695.726336,695.664000,0.062336,,0.405845,"[650,1000)"
413,696.626070,696.632000,0.005930,,0.422673,"[650,1000)"
414,699.132095,699.064000,0.068095,,0.412430,"[650,1000)"
415,700.296739,700.192000,0.104739,,0.399316,"[650,1000)"
416,701.301743,701.144000,0.157743,,0.424170,"[650,1000)"
417,702.227343,702.304000,0.076657,,0.403367,"[650,1000)"
418,704.033839,704.184000,0.150161,,0.393392,"[650,1000)"
419,705.125814,705.096000,0.029814,,0.394299,"[650,1000)"
420,706.184655,705.672000,0.512655,,0.383552,"[650,1000)"
421,708.269071,708.336000,0.066929,,0.422137,"[650,1000)"
422,709.229589,710.088000,0.858411,,0.416537,"[650,1000)"
423,711.130274,710.776000,0.354274,,0.418418,"[650,1000)"
424,711.900290,711.792000,0.108290,,0.426891,"[650,1000)"
425,712.749383,713.432000,0.682617,,0.423030,"[650,1000)"
426,714.082772,714.144000,0.061228,,0.424228,"[650,1000)"
427,716.112396,715.880000,0.232396,,0.430108,"[650,1000)"
428,717.482570,718.000000,0.517430,,0.438809,"[650,1000)"
429,718.742787,718.320000,0.422787,,0.408853,"[650,1000)"
430,719.697101,719.336000,0.361101,,0.421572,"[650,1000)"
431,721.351162,722.424000,1.072838,,0.398650,"[650,1000)"
432,722.277505,722.424000,0.146495,,0.410491,"[650,1000)"
433,723.845821,723.232000,0.613821,,0.429047,"[650,1000)"
434,724.562614,724.872000,0.309386,,0.419779,"[650,1000)"
435,727.056403,726.736000,0.320403,,0.414878,"[650,1000)"
436,728.405482,727.744000,0.661482,,0.432101,"[650,1000)"
437,728.758750,729.080000,0.321250,,0.440371,"[650,1000)"
438,730.416482,731.144000,0.727518,,0.421479,"[650,1000)"
439,731.417355,731.144000,0.273355,,0.417532,"[650,1000)"
440,732.818053,732.912000,0.093947,,0.449484,"[650,1000)"
441,734.789643,735.224000,0.434357,,0.432954,"[650,1000)"
442,735.765459,735.224000,0.541459,,0.411110,"[650,1000)"
